Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
10000	-362.70443410734816	-inf	40	0.02	0.001
20000	-331.1569817461681	-inf	57	0.02	0.001
30000	-298.17165295960285	-inf	70	0.02	0.001
40000	-275.9235964867633	-inf	84	0.02	0.001
50000	-259.93292121567856	-inf	99	0.02	0.001
60000	-233.13843031029626	-233.13843031029626	116	0.02	0.001
70000	-169.23445985771323	-169.23445985771323	134	0.02	0.001
80000	-117.27872496609201	-117.27872496609201	158	0.02	0.001
90000	-89.31176886042938	-89.31176886042938	182	0.02	0.001
100000	-47.402675759605614	-47.402675759605614	207	0.02	0.001
110000	-12.405772691908794	-12.405772691908794	232	0.02	0.001
120000	-2.8518767518828	1.0275565409853713	252	0.02	0.001
130000	-0.5761838652275215	1.0275565409853713	267	0.02	0.001
140000	9.710864957881487	13.030560648861192	282	0.02	0.001
150000	2.164981986068424	13.030560648861192	300	0.02	0.001
160000	9.593242419798942	13.030560648861192	316	0.02	0.001
170000	4.145486878878652	13.030560648861192	330	0.02	0.001
180000	12.052025592438572	13.030560648861192	347	0.02	0.001
190000	22.090002383770106	22.090002383770106	361	0.02	0.001
200000	35.24332692361295	36.56079783873927	379	0.02	0.001
210000	45.7268037474535	46.241818061761705	402	0.02	0.001
220000	71.47947496659556	71.90938129979708	432	0.02	0.001
230000	67.2893908069075	74.7742490707154	457	0.02	0.001
240000	71.56098805275285	74.7742490707154	483	0.02	0.001
250000	59.889646244749116	74.7742490707154	503	0.02	0.001
260000	52.11771248178528	74.7742490707154	536	0.02	0.001
270000	51.04140195340804	74.7742490707154	575	0.02	0.001
280000	48.066218558157225	74.7742490707154	606	0.02	0.001
290000	50.13368618359479	74.7742490707154	652	0.02	0.001
300000	16.00925108367476	74.7742490707154	711	0.02	0.001
310000	-35.33331948639351	74.7742490707154	775	0.02	0.001
320000	-109.55240305943322	74.7742490707154	862	0.02	0.001
330000	-148.95204794381078	74.7742490707154	954	0.02	0.001
340000	-227.97084581128166	74.7742490707154	1049	0.02	0.001
350000	-265.27868977372657	74.7742490707154	1150	0.02	0.001
360000	-236.49880820571826	74.7742490707154	1254	0.02	0.001
370000	-321.2099709941297	74.7742490707154	1359	0.02	0.001
380000	-340.0553690614732	74.7742490707154	1461	0.02	0.001
390000	-323.9814097615593	74.7742490707154	1568	0.02	0.001
400000	-348.59588023838063	74.7742490707154	1671	0.02	0.001
410000	-320.45705185126286	74.7742490707154	1771	0.02	0.001
420000	-267.8870774641338	74.7742490707154	1868	0.02	0.001
430000	-235.9855239269805	74.7742490707154	1953	0.02	0.001
440000	-182.22352084585572	74.7742490707154	2027	0.02	0.001
450000	-137.54832156904897	74.7742490707154	2090	0.02	0.001
460000	-101.49169193632977	74.7742490707154	2148	0.02	0.001
470000	-48.35747441652741	74.7742490707154	2199	0.02	0.001
480000	-10.444817233886893	74.7742490707154	2244	0.02	0.001
490000	-11.159852346612762	74.7742490707154	2271	0.02	0.001
500000	-17.85178622491233	74.7742490707154	2300	0.02	0.001
