Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
10000	-293.5812587428479	-inf	86	0.804	0.001
20000	-255.1345603112642	-253.7588313210365	147	0.608	0.001
30000	-207.41569185583793	-207.41569185583793	165	0.41200000000000003	0.001
40000	-189.54450582253196	-189.54450582253196	175	0.21599999999999997	0.001
50000	-171.47933273194954	-171.47933273194954	185	0.02	0.001
60000	-139.83878093408046	-139.83878093408046	199	0.02	0.001
70000	-121.95703820382481	-121.95703820382481	210	0.02	0.001
80000	-102.09049146925379	-102.09049146925379	226	0.02	0.001
90000	-75.89526200094467	-75.89526200094467	242	0.02	0.001
100000	-46.47247289832434	-46.47247289832434	259	0.02	0.001
110000	-21.8270716380013	-21.8270716380013	274	0.02	0.001
120000	-12.832381703622234	-12.832381703622234	287	0.02	0.001
130000	4.48249194393422	4.48249194393422	304	0.02	0.001
140000	28.74217689870256	28.74217689870256	323	0.02	0.001
150000	51.27488364396546	53.77840060749031	339	0.02	0.001
160000	48.13500004577201	58.54989921096539	358	0.02	0.001
170000	58.96743066788692	58.96743066788692	382	0.02	0.001
180000	65.89452512144808	72.10195008518919	402	0.02	0.001
190000	68.0412633427677	72.10195008518919	428	0.02	0.001
200000	68.90516095910579	72.10195008518919	455	0.02	0.001
210000	75.3582202684056	80.00943382510216	488	0.02	0.001
220000	72.9978430004581	80.00943382510216	519	0.02	0.001
230000	76.21766765613826	84.13668713356397	563	0.02	0.001
240000	93.53303215182797	94.18441817595163	599	0.02	0.001
250000	105.33274048456664	108.94620378160866	633	0.02	0.001
260000	114.91366972857179	116.28952431148512	668	0.02	0.001
270000	110.68542985639347	119.52074532306511	701	0.02	0.001
280000	112.85411888527378	119.52074532306511	732	0.02	0.001
290000	118.29423897769254	124.55228471705492	770	0.02	0.001
300000	104.91562072729901	124.55228471705492	804	0.02	0.001
310000	87.0049323175055	124.55228471705492	852	0.02	0.001
320000	100.80338462011876	124.55228471705492	892	0.02	0.001
330000	97.77169877164306	124.55228471705492	935	0.02	0.001
340000	104.74289515927394	124.55228471705492	977	0.02	0.001
350000	134.436954602583	134.436954602583	1031	0.02	0.001
360000	141.1334295442521	141.2042244953426	1085	0.02	0.001
370000	127.31090275807428	146.52753547918041	1140	0.02	0.001
380000	128.2096360040494	146.52753547918041	1194	0.02	0.001
390000	132.9890618923826	146.52753547918041	1247	0.02	0.001
400000	124.76942864183047	146.52753547918041	1295	0.02	0.001
410000	144.30767613886385	149.29101593686275	1342	0.02	0.001
420000	166.0418747061571	167.3311901886773	1390	0.02	0.001
430000	147.23727780231727	167.5425067043578	1434	0.02	0.001
440000	134.19587553518858	167.5425067043578	1486	0.02	0.001
450000	140.6174979408131	167.5425067043578	1543	0.02	0.001
460000	154.0933216021362	167.5425067043578	1590	0.02	0.001
470000	144.41118294484144	167.5425067043578	1651	0.02	0.001
480000	143.07079792044692	167.5425067043578	1720	0.02	0.001
490000	147.6138098910228	167.5425067043578	1794	0.02	0.001
500000	142.1590040522213	167.5425067043578	1854	0.02	0.001
