Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
10000	-297.0957324466923	-inf	88	0.9804	0.001
20000	-282.886633302146	-282.886633302146	177	0.9608	0.001
30000	-317.669657928669	-275.9358260647557	261	0.9412	0.001
40000	-312.32828306310944	-275.9358260647557	348	0.9216	0.001
50000	-297.8224163662568	-275.9358260647557	433	0.902	0.001
60000	-292.90187760816184	-275.9358260647557	515	0.8824	0.001
70000	-275.5173031005887	-265.5087467489456	603	0.8628	0.001
80000	-299.6332849585429	-265.5087467489456	687	0.8432	0.001
90000	-285.482886757154	-265.5087467489456	771	0.8236	0.001
100000	-267.29564097657135	-251.87053566034947	846	0.804	0.001
110000	-268.65771680418396	-251.87053566034947	933	0.7844	0.001
120000	-219.9031142163922	-216.9121923385306	1017	0.7648	0.001
130000	-195.23513659289713	-188.50305303832076	1096	0.7452	0.001
140000	-163.0419232688125	-163.0419232688125	1172	0.7256	0.001
150000	-133.80832062072167	-133.80832062072167	1252	0.706	0.001
160000	-119.07933131760717	-115.02272379664228	1315	0.6864	0.001
170000	-107.49314229939792	-107.49314229939792	1387	0.6668000000000001	0.001
180000	-100.58993785067456	-92.42413370087306	1450	0.6472	0.001
190000	-58.79112652275776	-58.79112652275776	1519	0.6275999999999999	0.001
200000	-66.98643844102651	-49.133864725762685	1583	0.608	0.001
210000	-52.53137510577006	-49.133864725762685	1630	0.5884	0.001
220000	-53.735876809214524	-41.39944159064624	1700	0.5688	0.001
230000	-48.565233276397166	-41.39944159064624	1769	0.5491999999999999	0.001
240000	-5.525314655276049	-5.525314655276049	1837	0.5296000000000001	0.001
250000	6.959403912435378	8.097287688592724	1896	0.51	0.001
260000	0.6725367168387564	13.511981004663642	1956	0.49039999999999995	0.001
270000	8.504587725170145	14.230864893630892	2005	0.4708	0.001
280000	12.51688774414225	27.47437119632744	2060	0.45119999999999993	0.001
290000	4.407888628453248	27.47437119632744	2117	0.4316000000000001	0.001
300000	2.9399233432721457	27.47437119632744	2154	0.41200000000000003	0.001
310000	16.119310422886716	27.47437119632744	2200	0.39239999999999997	0.001
320000	41.882924883631446	46.27766734048493	2242	0.3728	0.001
330000	40.79454832124953	49.102037138632184	2280	0.35319999999999996	0.001
340000	41.95752242619922	49.102037138632184	2311	0.3336	0.001
350000	52.08951648111287	55.256474042276075	2349	0.31400000000000006	0.001
360000	65.94899866330303	68.0784759601141	2380	0.2944	0.001
370000	61.209067400851964	68.96376725981357	2413	0.27480000000000004	0.001
380000	57.69015644267177	68.96376725981357	2443	0.2552	0.001
390000	58.85602086226903	68.96376725981357	2478	0.23560000000000003	0.001
400000	110.79105408077402	110.79105408077402	2525	0.21599999999999997	0.001
410000	144.7129985593483	145.0600595441325	2566	0.19640000000000002	0.001
420000	132.92062461418743	149.4053739466591	2602	0.17680000000000007	0.001
430000	108.09149151936099	149.4053739466591	2651	0.1572	0.001
440000	119.36726293287118	149.4053739466591	2692	0.13760000000000006	0.001
450000	123.29848746006328	149.4053739466591	2737	0.118	0.001
460000	98.73230642877205	149.4053739466591	2779	0.09839999999999993	0.001
470000	106.0324387649658	149.4053739466591	2809	0.07880000000000009	0.001
480000	102.68765761924541	149.4053739466591	2828	0.05920000000000003	0.001
490000	92.70829422215968	149.4053739466591	2844	0.03960000000000008	0.001
500000	92.87652299253395	149.4053739466591	2865	0.020000000000000018	0.001
