Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
10000	-293.5812587428479	-inf	86	0.804	0.001
20000	-275.89508096935145	-275.34127671321676	146	0.608	0.001
30000	-223.20335397682618	-223.20335397682618	165	0.41200000000000003	0.001
40000	-199.9944881724154	-199.9944881724154	175	0.21599999999999997	0.001
50000	-178.52275597313047	-178.52275597313047	186	0.02	0.001
60000	-158.7537360621394	-158.7537360621394	196	0.02	0.001
70000	-130.36643590425464	-130.36643590425464	209	0.02	0.001
80000	-75.17020650970018	-75.17020650970018	229	0.02	0.001
90000	-25.828471394592682	-25.828471394592682	251	0.02	0.001
100000	4.009757009956572	4.009757009956572	272	0.02	0.001
110000	22.498320022242105	22.498320022242105	288	0.02	0.001
120000	44.338203166677694	46.10671425045125	304	0.02	0.001
130000	60.19673777192882	60.34063077640521	323	0.02	0.001
140000	68.2670193817159	69.93426850689339	343	0.02	0.001
150000	76.50736663339025	76.50736663339025	363	0.02	0.001
160000	66.64637979863193	76.50736663339025	378	0.02	0.001
170000	76.05459573155309	78.97843269829094	396	0.02	0.001
180000	88.71806595010752	90.70169983953838	420	0.02	0.001
190000	81.9323354543407	91.17711508005422	442	0.02	0.001
200000	67.12374116200867	91.17711508005422	462	0.02	0.001
210000	74.43592877994173	91.17711508005422	479	0.02	0.001
220000	64.46594224515063	91.17711508005422	502	0.02	0.001
230000	53.67139034173533	91.17711508005422	530	0.02	0.001
240000	64.94259673500396	91.17711508005422	550	0.02	0.001
250000	68.95818446264941	91.17711508005422	572	0.02	0.001
260000	61.111843334174694	91.17711508005422	596	0.02	0.001
270000	82.59914619842706	91.17711508005422	622	0.02	0.001
280000	86.13675803660239	99.31201558015611	655	0.02	0.001
290000	72.20901355254497	99.31201558015611	688	0.02	0.001
300000	52.44661579414543	99.31201558015611	723	0.02	0.001
310000	30.133404474324564	99.31201558015611	762	0.02	0.001
320000	58.73906921051879	99.31201558015611	809	0.02	0.001
330000	109.82836905494503	115.03624783501185	859	0.02	0.001
340000	148.47740211686676	153.44447356890367	917	0.02	0.001
350000	174.86905670125384	175.43575060170767	979	0.02	0.001
360000	172.76675085802592	181.6102158542834	1045	0.02	0.001
370000	132.22658891226962	181.6102158542834	1118	0.02	0.001
380000	165.57981794055723	181.6102158542834	1186	0.02	0.001
390000	165.59766185238877	181.6102158542834	1251	0.02	0.001
400000	169.2818599358796	181.6102158542834	1319	0.02	0.001
410000	167.86405872084146	181.6102158542834	1392	0.02	0.001
420000	174.42675418515765	181.6102158542834	1467	0.02	0.001
430000	168.74671662975638	181.6102158542834	1538	0.02	0.001
440000	163.8210816865687	181.6102158542834	1617	0.02	0.001
450000	159.81072294795388	181.6102158542834	1691	0.02	0.001
460000	153.3198231007584	181.6102158542834	1764	0.02	0.001
470000	138.20673359414633	181.6102158542834	1838	0.02	0.001
480000	110.98408959324101	181.6102158542834	1915	0.02	0.001
490000	116.55153940103283	181.6102158542834	1990	0.02	0.001
500000	88.71625739540704	181.6102158542834	2068	0.02	0.001
