Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
10000	-290.9198405536717	-inf	86	0.804	0.001
20000	-242.35533896843808	-242.35533896843808	150	0.608	0.001
30000	-202.11953320076577	-202.11953320076577	165	0.41200000000000003	0.001
40000	-181.77650123896277	-181.77650123896277	175	0.21599999999999997	0.001
50000	-165.80567923250914	-165.80567923250914	185	0.02	0.001
60000	-139.49998570341916	-139.49998570341916	197	0.02	0.001
70000	-114.85100549587523	-112.85060654535123	208	0.02	0.001
80000	-90.41117720258177	-90.41117720258177	224	0.02	0.001
90000	-81.04743610512922	-79.36076420743937	237	0.02	0.001
100000	-64.94246648407048	-64.94246648407048	249	0.02	0.001
110000	-56.193784367277715	-52.89878836333163	261	0.02	0.001
120000	-45.1333492421701	-45.1333492421701	273	0.02	0.001
130000	-30.918764038961168	-30.918764038961168	286	0.02	0.001
140000	-25.828705356706156	-22.27107968127881	299	0.02	0.001
150000	-15.734296565868483	-15.734296565868483	318	0.02	0.001
160000	3.0081766386911677	3.0777750686100576	332	0.02	0.001
170000	24.248496269769944	24.248496269769944	351	0.02	0.001
180000	27.236759016304084	30.120165391058393	364	0.02	0.001
190000	31.638882235499253	31.638882235499253	377	0.02	0.001
200000	30.914759904290527	32.46465902339392	390	0.02	0.001
210000	34.566397810871365	36.49805767726998	404	0.02	0.001
220000	33.34647192619193	37.598369183482866	418	0.02	0.001
230000	42.2172489085511	42.2172489085511	435	0.02	0.001
240000	55.52218599907133	55.52218599907133	456	0.02	0.001
250000	75.43732618709637	75.50562133397078	480	0.02	0.001
260000	97.30684960898317	97.30684960898317	512	0.02	0.001
270000	101.05836818724269	106.78385090007504	540	0.02	0.001
280000	108.28334992078096	108.28334992078096	571	0.02	0.001
290000	127.78659781075068	127.78659781075068	599	0.02	0.001
300000	156.23489513130934	156.23489513130934	639	0.02	0.001
310000	163.18142211287014	168.78355031319686	675	0.02	0.001
320000	173.81447330526956	174.04275362908757	721	0.02	0.001
330000	178.02342882039417	181.05947621168445	772	0.02	0.001
340000	145.34087039894646	181.05947621168445	819	0.02	0.001
350000	128.12615785731307	181.05947621168445	860	0.02	0.001
360000	116.4741639452351	181.05947621168445	895	0.02	0.001
370000	123.31436219614254	181.05947621168445	938	0.02	0.001
380000	127.11080908967365	181.05947621168445	988	0.02	0.001
390000	128.55862607493518	181.05947621168445	1042	0.02	0.001
400000	88.85590091577723	181.05947621168445	1099	0.02	0.001
410000	-15.328426150577652	181.05947621168445	1177	0.02	0.001
420000	-41.492307732567355	181.05947621168445	1253	0.02	0.001
430000	-96.29488578362972	181.05947621168445	1333	0.02	0.001
440000	-141.8409992897674	181.05947621168445	1417	0.02	0.001
450000	-84.96128429870998	181.05947621168445	1494	0.02	0.001
460000	-146.1531350798416	181.05947621168445	1576	0.02	0.001
470000	-265.8062547828764	181.05947621168445	1654	0.02	0.001
480000	-244.26601767825107	181.05947621168445	1738	0.02	0.001
490000	-234.89722924578135	181.05947621168445	1822	0.02	0.001
500000	-333.023549352341	181.05947621168445	1910	0.02	0.001
