Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
60000	-20.55	-20.35	205	0.194	0.0001
70000	-20.69	-20.35	242	0.193	0.0001
80000	-20.85	-20.35	280	0.192	0.0001
90000	-20.83	-20.35	318	0.191	0.0001
100000	-20.76	-20.35	352	0.19	0.0001
110000	-20.72	-20.35	387	0.189	0.0001
120000	-20.71	-20.35	423	0.188	0.0001
130000	-20.75	-20.35	459	0.187	0.0001
140000	-20.75	-20.35	495	0.186	0.0001
150000	-20.79	-20.35	532	0.185	0.0001
160000	-20.79	-20.35	569	0.184	0.0001
170000	-20.77	-20.35	606	0.183	0.0001
180000	-20.75	-20.35	642	0.18200000000000002	0.0001
190000	-20.66	-20.35	675	0.181	0.0001
200000	-20.56	-20.35	709	0.18	0.0001
210000	-20.43	-20.35	742	0.17900000000000002	0.0001
220000	-20.5	-20.35	775	0.17800000000000002	0.0001
230000	-20.55	-20.35	806	0.17700000000000002	0.0001
240000	-20.65	-20.35	838	0.17600000000000002	0.0001
250000	-20.59	-20.35	869	0.17500000000000002	0.0001
260000	-20.62	-20.35	900	0.17400000000000002	0.0001
270000	-20.6	-20.35	930	0.17300000000000001	0.0001
280000	-20.58	-20.35	959	0.17200000000000001	0.0001
290000	-20.51	-20.35	988	0.171	0.0001
300000	-20.5	-20.35	1017	0.17	0.0001
310000	-20.44	-20.35	1045	0.169	0.0001
320000	-20.42	-20.35	1073	0.168	0.0001
330000	-20.44	-20.35	1101	0.167	0.0001
340000	-20.28	-20.26	1129	0.166	0.0001
350000	-20.29	-20.25	1157	0.165	0.0001
360000	-20.14	-20.14	1184	0.164	0.0001
370000	-20.21	-20.12	1211	0.163	0.0001
380000	-20.23	-20.12	1241	0.162	0.0001
390000	-20.3	-20.12	1269	0.161	0.0001
400000	-20.19	-20.12	1296	0.16	0.0001
410000	-20.1	-20.1	1322	0.159	0.0001
420000	-20.05	-20.04	1350	0.158	0.0001
430000	-20.06	-20.01	1378	0.157	0.0001
440000	-20.15	-20.01	1405	0.156	0.0001
450000	-20.2	-20.01	1430	0.155	0.0001
460000	-20.23	-20.01	1455	0.154	0.0001
470000	-20.08	-20.01	1478	0.15300000000000002	0.0001
480000	-20.01	-20.0	1502	0.15200000000000002	0.0001
490000	-20.0	-19.97	1526	0.15100000000000002	0.0001
500000	-19.98	-19.93	1550	0.15000000000000002	0.0001
510000	-19.89	-19.85	1571	0.14900000000000002	0.0001
520000	-19.92	-19.85	1594	0.14800000000000002	0.0001
530000	-19.88	-19.85	1615	0.14700000000000002	0.0001
540000	-19.83	-19.81	1639	0.14600000000000002	0.0001
550000	-19.83	-19.81	1660	0.14500000000000002	0.0001
560000	-19.89	-19.81	1683	0.14400000000000002	0.0001
570000	-19.93	-19.81	1705	0.14300000000000002	0.0001
580000	-19.93	-19.81	1728	0.14200000000000002	0.0001
590000	-19.9	-19.81	1750	0.14100000000000001	0.0001
600000	-19.92	-19.81	1770	0.14	0.0001
610000	-19.93	-19.81	1792	0.139	0.0001
620000	-19.98	-19.81	1814	0.138	0.0001
630000	-19.93	-19.81	1835	0.137	0.0001
640000	-19.84	-19.81	1856	0.136	0.0001
650000	-19.94	-19.81	1879	0.135	0.0001
660000	-19.9	-19.81	1900	0.134	0.0001
670000	-19.89	-19.81	1922	0.133	0.0001
680000	-19.88	-19.81	1943	0.132	0.0001
690000	-19.81	-19.8	1962	0.131	0.0001
700000	-19.85	-19.78	1984	0.13	0.0001
710000	-19.76	-19.76	2002	0.129	0.0001
