Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
60000	-20.48	-20.35	203	0.194	0.0001
70000	-20.55	-20.35	239	0.193	0.0001
80000	-20.65	-20.35	276	0.192	0.0001
90000	-20.62	-20.35	312	0.191	0.0001
100000	-20.74	-20.35	350	0.19	0.0001
110000	-20.77	-20.35	387	0.189	0.0001
120000	-20.83	-20.35	426	0.188	0.0001
130000	-20.69	-20.35	462	0.187	0.0001
140000	-20.56	-20.35	494	0.186	0.0001
150000	-20.39	-20.35	528	0.185	0.0001
160000	-20.44	-20.35	563	0.184	0.0001
170000	-20.46	-20.35	597	0.183	0.0001
180000	-20.38	-20.31	630	0.18200000000000002	0.0001
190000	-20.16	-20.16	663	0.181	0.0001
200000	-20.11	-20.09	697	0.18	0.0001
210000	-20.14	-20.09	730	0.17900000000000002	0.0001
220000	-20.25	-20.09	762	0.17800000000000002	0.0001
230000	-20.26	-20.09	794	0.17700000000000002	0.0001
240000	-20.16	-20.09	825	0.17600000000000002	0.0001
250000	-20.08	-20.08	857	0.17500000000000002	0.0001
260000	-19.86	-19.84	887	0.17400000000000002	0.0001
270000	-19.68	-19.66	913	0.17300000000000001	0.0001
280000	-19.46	-19.42	942	0.17200000000000001	0.0001
290000	-19.32	-19.31	972	0.171	0.0001
300000	-19.44	-19.3	1001	0.17	0.0001
310000	-19.51	-19.3	1028	0.169	0.0001
320000	-19.62	-19.3	1059	0.168	0.0001
330000	-19.51	-19.3	1087	0.167	0.0001
340000	-19.56	-19.3	1115	0.166	0.0001
350000	-19.54	-19.3	1142	0.165	0.0001
360000	-19.28	-19.28	1168	0.164	0.0001
370000	-19.11	-19.11	1195	0.163	0.0001
380000	-19.04	-19.01	1221	0.162	0.0001
390000	-18.91	-18.85	1246	0.161	0.0001
400000	-18.93	-18.81	1271	0.16	0.0001
410000	-18.94	-18.81	1297	0.159	0.0001
420000	-18.74	-18.7	1322	0.158	0.0001
430000	-18.65	-18.65	1347	0.157	0.0001
440000	-18.54	-18.5	1371	0.156	0.0001
450000	-18.49	-18.43	1397	0.155	0.0001
460000	-18.49	-18.4	1422	0.154	0.0001
470000	-18.4	-18.39	1446	0.15300000000000002	0.0001
480000	-18.5	-18.39	1470	0.15200000000000002	0.0001
490000	-18.34	-18.33	1494	0.15100000000000002	0.0001
500000	-18.27	-18.2	1517	0.15000000000000002	0.0001
510000	-18.24	-18.17	1541	0.14900000000000002	0.0001
520000	-18.25	-18.17	1566	0.14800000000000002	0.0001
530000	-18.32	-18.17	1590	0.14700000000000002	0.0001
540000	-18.3	-18.17	1615	0.14600000000000002	0.0001
550000	-18.28	-18.17	1640	0.14500000000000002	0.0001
560000	-18.15	-18.1	1663	0.14400000000000002	0.0001
570000	-17.96	-17.95	1687	0.14300000000000002	0.0001
580000	-17.9	-17.9	1710	0.14200000000000002	0.0001
590000	-17.86	-17.85	1734	0.14100000000000001	0.0001
600000	-17.88	-17.85	1758	0.14	0.0001
610000	-17.95	-17.85	1782	0.139	0.0001
620000	-18.02	-17.85	1806	0.138	0.0001
630000	-18.07	-17.85	1832	0.137	0.0001
640000	-18.15	-17.85	1856	0.136	0.0001
650000	-18.01	-17.85	1878	0.135	0.0001
660000	-18.04	-17.85	1902	0.134	0.0001
670000	-18.09	-17.85	1926	0.133	0.0001
680000	-18.12	-17.85	1949	0.132	0.0001
690000	-18.16	-17.85	1973	0.131	0.0001
700000	-18.26	-17.85	1997	0.13	0.0001
710000	-18.28	-17.85	2021	0.129	0.0001
720000	-18.21	-17.85	2045	0.128	0.0001
730000	-18.19	-17.85	2068	0.127	0.0001
740000	-18.09	-17.85	2091	0.126	0.0001
750000	-18.04	-17.85	2114	0.125	0.0001
760000	-17.85	-17.83	2137	0.124	0.0001
770000	-17.86	-17.8	2162	0.123	0.0001
780000	-17.81	-17.8	2184	0.122	0.0001
790000	-17.79	-17.76	2208	0.121	0.0001
800000	-17.91	-17.76	2231	0.12	0.0001
810000	-17.78	-17.76	2254	0.119	0.0001
820000	-17.75	-17.73	2277	0.11800000000000001	0.0001
830000	-17.77	-17.72	2300	0.117	0.0001
840000	-17.64	-17.64	2322	0.116	0.0001
850000	-17.71	-17.56	2344	0.115	0.0001
860000	-17.77	-17.56	2367	0.114	0.0001
870000	-17.77	-17.56	2391	0.113	0.0001
880000	-17.96	-17.56	2414	0.112	0.0001
890000	-18.08	-17.56	2437	0.111	0.0001
900000	-18.21	-17.56	2462	0.11	0.0001
910000	-18.23	-17.56	2484	0.109	0.0001
920000	-18.13	-17.56	2507	0.108	0.0001
930000	-18.06	-17.56	2530	0.107	0.0001
940000	-17.97	-17.56	2554	0.10600000000000001	0.0001
950000	-17.86	-17.56	2576	0.10500000000000001	0.0001
960000	-17.83	-17.56	2599	0.10400000000000001	0.0001
970000	-17.78	-17.56	2622	0.10300000000000001	0.0001
980000	-17.9	-17.56	2644	0.10200000000000001	0.0001
990000	-17.96	-17.56	2667	0.101	0.0001
1000000	-18.05	-17.56	2691	0.1	0.0001
1010000	-17.97	-17.56	2713	0.099775	9.9875e-05
1020000	-17.98	-17.56	2737	0.09955	9.975e-05
1030000	-17.82	-17.56	2760	0.09932500000000001	9.962500000000001e-05
1040000	-17.89	-17.56	2783	0.09910000000000001	9.95e-05
1050000	-17.77	-17.56	2805	0.098875	9.9375e-05
1060000	-17.82	-17.56	2828	0.09865	9.925e-05
1070000	-17.73	-17.56	2850	0.098425	9.912500000000001e-05
1080000	-17.58	-17.52	2871	0.09820000000000001	9.900000000000001e-05
1090000	-17.45	-17.36	2894	0.097975	9.8875e-05
1100000	-17.53	-17.35	2916	0.09775	9.875e-05
1110000	-17.48	-17.35	2939	0.097525	9.8625e-05
1120000	-17.63	-17.35	2961	0.09730000000000001	9.850000000000001e-05
1130000	-17.8	-17.35	2984	0.09707500000000001	9.8375e-05
1140000	-17.85	-17.35	3006	0.09685	9.825e-05
1150000	-17.66	-17.35	3029	0.096625	9.8125e-05
