Iteration	mean_reward_(100_episodes)	best_mean_reward	episodes	exploration	learning_rate
60000	-20.11111111111111	-inf	63	0.946	0.0001
70000	-20.06756756756757	-inf	74	0.9369999999999999	0.0001
80000	-20.11764705882353	-inf	85	0.9279999999999999	0.0001
90000	-20.15625	-inf	96	0.919	0.0001
100000	-20.16	-20.13	107	0.91	0.0001
110000	-20.16	-20.13	118	0.901	0.0001
120000	-20.25	-20.13	128	0.892	0.0001
130000	-20.26	-20.13	139	0.883	0.0001
140000	-20.33	-20.13	150	0.874	0.0001
150000	-20.32	-20.13	161	0.865	0.0001
160000	-20.32	-20.13	170	0.856	0.0001
170000	-20.28	-20.13	182	0.847	0.0001
180000	-20.26	-20.13	193	0.838	0.0001
190000	-20.28	-20.13	203	0.829	0.0001
200000	-20.25	-20.13	214	0.82	0.0001
210000	-20.2	-20.13	225	0.8109999999999999	0.0001
220000	-20.14	-20.13	236	0.802	0.0001
230000	-20.08	-20.08	246	0.7929999999999999	0.0001
240000	-20.05	-20.04	257	0.784	0.0001
250000	-20.12	-20.04	267	0.775	0.0001
260000	-20.14	-20.04	277	0.766	0.0001
270000	-20.18	-20.04	288	0.757	0.0001
280000	-20.22	-20.04	300	0.748	0.0001
290000	-20.21	-20.04	311	0.739	0.0001
300000	-20.26	-20.04	321	0.73	0.0001
310000	-20.3	-20.04	332	0.721	0.0001
320000	-20.28	-20.04	342	0.712	0.0001
330000	-20.29	-20.04	352	0.703	0.0001
340000	-20.3	-20.04	363	0.694	0.0001
350000	-20.27	-20.04	373	0.685	0.0001
360000	-20.22	-20.04	383	0.6759999999999999	0.0001
370000	-20.16	-20.04	393	0.667	0.0001
380000	-20.06	-20.04	403	0.6579999999999999	0.0001
390000	-20.05	-20.04	412	0.649	0.0001
400000	-19.96	-19.94	422	0.6399999999999999	0.0001
410000	-19.92	-19.92	433	0.631	0.0001
420000	-19.94	-19.89	442	0.622	0.0001
430000	-19.98	-19.89	452	0.613	0.0001
440000	-19.89	-19.89	461	0.604	0.0001
450000	-19.86	-19.86	471	0.595	0.0001
460000	-19.86	-19.83	481	0.586	0.0001
470000	-19.88	-19.83	491	0.577	0.0001
480000	-19.85	-19.83	500	0.5680000000000001	0.0001
490000	-19.77	-19.77	509	0.5589999999999999	0.0001
500000	-19.85	-19.77	518	0.55	0.0001
510000	-19.81	-19.77	527	0.5409999999999999	0.0001
520000	-19.76	-19.74	536	0.532	0.0001
530000	-19.65	-19.65	545	0.5229999999999999	0.0001
540000	-19.61	-19.61	553	0.514	0.0001
550000	-19.65	-19.6	561	0.5049999999999999	0.0001
560000	-19.53	-19.53	569	0.4959999999999999	0.0001
570000	-19.56	-19.51	577	0.487	0.0001
580000	-19.45	-19.45	585	0.478	0.0001
590000	-19.37	-19.37	593	0.469	0.0001
600000	-19.31	-19.31	601	0.45999999999999996	0.0001
610000	-19.37	-19.31	609	0.45099999999999996	0.0001
620000	-19.24	-19.24	616	0.44199999999999995	0.0001
630000	-19.18	-19.18	624	0.43299999999999994	0.0001
640000	-19.03	-19.03	631	0.42399999999999993	0.0001
650000	-18.96	-18.96	638	0.4149999999999999	0.0001
660000	-18.93	-18.92	645	0.4059999999999999	0.0001
670000	-18.76	-18.76	651	0.3969999999999999	0.0001
680000	-18.69	-18.69	658	0.3879999999999999	0.0001
690000	-18.55	-18.55	663	0.379	0.0001
700000	-18.37	-18.37	669	0.37	0.0001
710000	-18.24	-18.24	675	0.361	0.0001
720000	-18.16	-18.16	680	0.352	0.0001
730000	-17.97	-17.97	686	0.34299999999999997	0.0001
740000	-17.91	-17.91	692	0.33399999999999996	0.0001
750000	-17.88	-17.88	697	0.32499999999999996	0.0001
760000	-17.83	-17.81	702	0.31599999999999995	0.0001
770000	-17.71	-17.71	708	0.30699999999999994	0.0001
780000	-17.64	-17.64	713	0.29799999999999993	0.0001
790000	-17.62	-17.62	718	0.2889999999999999	0.0001
800000	-17.54	-17.54	723	0.2799999999999999	0.0001
810000	-17.46	-17.46	727	0.2709999999999999	0.0001
820000	-17.39	-17.39	732	0.262	0.0001
830000	-17.26	-17.26	737	0.253	0.0001
840000	-17.08	-17.08	741	0.244	0.0001
850000	-16.95	-16.95	746	0.235	0.0001
860000	-16.94	-16.91	751	0.22599999999999998	0.0001
870000	-16.75	-16.75	755	0.21699999999999997	0.0001
880000	-16.58	-16.58	759	0.20799999999999996	0.0001
890000	-16.54	-16.53	764	0.19899999999999995	0.0001
900000	-16.51	-16.51	769	0.18999999999999995	0.0001
910000	-16.44	-16.44	773	0.18099999999999994	0.0001
920000	-16.24	-16.24	778	0.17199999999999993	0.0001
930000	-16.03	-16.03	782	0.16299999999999992	0.0001
940000	-16.01	-16.01	787	0.15400000000000003	0.0001
950000	-15.95	-15.92	791	0.14500000000000002	0.0001
960000	-15.82	-15.82	795	0.136	0.0001
970000	-15.73	-15.73	799	0.127	0.0001
980000	-15.39	-15.39	804	0.118	0.0001
990000	-15.28	-15.28	808	0.10899999999999999	0.0001
1000000	-15.15	-15.15	812	0.1	0.0001
1010000	-15.0	-15.0	817	0.09996250000000001	0.0001
1020000	-14.93	-14.93	821	0.099925	0.0001
1030000	-14.89	-14.87	825	0.0998875	0.0001
1040000	-14.79	-14.73	830	0.09985000000000001	0.0001
1050000	-14.76	-14.73	834	0.09981250000000001	0.0001
1060000	-14.54	-14.54	838	0.099775	0.0001
1070000	-14.35	-14.35	842	0.0997375	0.0001
1080000	-14.23	-14.23	845	0.09970000000000001	0.0001
1090000	-14.0	-14.0	849	0.0996625	0.0001
1100000	-13.67	-13.67	852	0.099625	0.0001
1110000	-13.47	-13.47	856	0.09958750000000001	0.0001
1120000	-13.5	-13.47	860	0.09955	0.0001
1130000	-13.34	-13.34	864	0.0995125	0.0001
1140000	-12.99	-12.99	868	0.09947500000000001	0.0001
1150000	-12.92	-12.92	872	0.09943750000000001	0.0001
1160000	-12.85	-12.79	876	0.0994	0.0001
1170000	-12.92	-12.77	881	0.0993625	0.0001
1180000	-12.85	-12.77	885	0.09932500000000001	0.0001
1190000	-12.72	-12.66	888	0.0992875	0.0001
1200000	-12.61	-12.6	892	0.09925	0.0001
1210000	-12.55	-12.5	897	0.09921250000000001	0.0001
1220000	-12.55	-12.47	901	0.099175	0.0001
1230000	-12.55	-12.47	905	0.0991375	0.0001
1240000	-12.51	-12.47	909	0.09910000000000001	0.0001
1250000	-12.44	-12.44	913	0.09906250000000001	0.0001
1260000	-12.22	-12.22	917	0.099025	0.0001
1270000	-12.24	-12.19	922	0.0989875	0.0001
1280000	-12.0	-12.0	925	0.09895000000000001	0.0001
1290000	-11.98	-11.91	929	0.0989125	0.0001
1300000	-11.57	-11.57	933	0.098875	0.0001
1310000	-11.44	-11.44	936	0.09883750000000001	0.0001
1320000	-11.67	-11.44	941	0.0988	0.0001
1330000	-11.67	-11.44	945	0.0987625	0.0001
1340000	-11.7	-11.44	948	0.09872500000000001	0.0001
1350000	-11.75	-11.44	952	0.09868750000000001	0.0001
1360000	-11.77	-11.44	955	0.09865	0.0001
1370000	-11.51	-11.44	958	0.0986125	0.0001
1380000	-11.45	-11.38	963	0.09857500000000001	0.0001
1390000	-11.39	-11.38	966	0.0985375	0.0001
1400000	-11.43	-11.38	969	0.0985	0.0001
1410000	-11.18	-11.15	973	0.09846250000000001	0.0001
1420000	-11.28	-11.15	977	0.098425	0.0001
1430000	-11.04	-11.03	981	0.0983875	0.0001
1440000	-10.93	-10.89	985	0.09835	0.0001
1450000	-10.96	-10.89	989	0.09831250000000001	0.0001
1460000	-10.91	-10.89	992	0.098275	0.0001
1470000	-10.65	-10.63	996	0.0982375	0.0001
1480000	-10.44	-10.42	999	0.09820000000000001	0.0001
1490000	-10.23	-10.23	1002	0.0981625	0.0001
1500000	-10.2	-10.2	1005	0.098125	0.0001
1510000	-10.04	-10.04	1009	0.09808750000000001	0.0001
1520000	-9.72	-9.72	1012	0.09805	0.0001
1530000	-9.65	-9.65	1015	0.0980125	0.0001
1540000	-9.39	-9.39	1018	0.097975	0.0001
1550000	-9.08	-9.08	1021	0.09793750000000001	0.0001
1560000	-8.94	-8.94	1024	0.0979	0.0001
1570000	-8.85	-8.85	1027	0.0978625	0.0001
1580000	-8.41	-8.41	1030	0.09782500000000001	0.0001
1590000	-8.45	-8.41	1033	0.0977875	0.0001
1600000	-8.42	-8.41	1036	0.09775	0.0001
1610000	-8.2	-8.2	1039	0.09771250000000001	0.0001
1620000	-7.76	-7.76	1042	0.09767500000000001	0.0001
1630000	-7.39	-7.39	1045	0.0976375	0.0001
1640000	-7.28	-7.28	1047	0.0976	0.0001
1650000	-6.99	-6.99	1050	0.09756250000000001	0.0001
1660000	-6.89	-6.89	1053	0.097525	0.0001
1670000	-6.97	-6.87	1056	0.0974875	0.0001
1680000	-6.88	-6.83	1059	0.09745000000000001	0.0001
1690000	-6.5	-6.5	1062	0.0974125	0.0001
1700000	-6.5	-6.47	1064	0.097375	0.0001
1710000	-6.34	-6.34	1067	0.09733750000000001	0.0001
1720000	-6.13	-6.08	1070	0.09730000000000001	0.0001
1730000	-5.83	-5.83	1073	0.0972625	0.0001
1740000	-5.36	-5.36	1076	0.097225	0.0001
1750000	-5.17	-5.17	1078	0.09718750000000001	0.0001
1760000	-4.8	-4.8	1081	0.09715	0.0001
1770000	-4.49	-4.47	1084	0.0971125	0.0001
1780000	-4.21	-4.21	1086	0.09707500000000001	0.0001
1790000	-3.6	-3.6	1090	0.0970375	0.0001
1800000	-3.08	-3.08	1093	0.097	0.0001
1810000	-2.71	-2.71	1096	0.09696250000000001	0.0001
1820000	-2.46	-2.46	1099	0.09692500000000001	0.0001
1830000	-2.07	-2.07	1102	0.0968875	0.0001
1840000	-1.47	-1.47	1105	0.09685	0.0001
1850000	-1.03	-1.03	1108	0.09681250000000001	0.0001
1860000	-0.65	-0.65	1112	0.096775	0.0001
1870000	-0.17	-0.17	1115	0.0967375	0.0001
1880000	0.2	0.2	1118	0.09670000000000001	0.0001
1890000	0.59	0.59	1121	0.0966625	0.0001
1900000	1.23	1.23	1125	0.096625	0.0001
1910000	1.75	1.75	1128	0.0965875	0.0001
1920000	2.42	2.42	1132	0.09655000000000001	0.0001
1930000	3.07	3.07	1136	0.0965125	0.0001
1940000	3.74	3.74	1140	0.096475	0.0001
1950000	4.25	4.25	1144	0.09643750000000001	0.0001
1960000	4.88	4.88	1148	0.0964	0.0001
1970000	5.63	5.63	1152	0.0963625	0.0001
1980000	6.58	6.58	1156	0.09632500000000001	0.0001
1990000	7.24	7.24	1160	0.0962875	0.0001
2000000	7.95	7.95	1164	0.09625	0.0001
2010000	8.44	8.44	1168	0.0962125	0.0001
2020000	8.86	8.86	1171	0.09617500000000001	0.0001
2030000	9.42	9.42	1175	0.0961375	0.0001
2040000	9.95	9.95	1179	0.0961	0.0001
2050000	10.65	10.65	1184	0.09606250000000001	0.0001
2060000	10.72	10.72	1186	0.096025	0.0001
2070000	10.72	10.79	1189	0.0959875	0.0001
2080000	10.74	10.79	1192	0.09595000000000001	0.0001
2090000	10.85	10.85	1195	0.09591250000000001	0.0001
2100000	11.11	11.14	1199	0.095875	0.0001
2110000	11.28	11.28	1202	0.0958375	0.0001
2120000	11.45	11.45	1206	0.09580000000000001	0.0001
