,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-148.83393386923814,-103.94794863981797,-207.8663499436177,32.6364870660388,,
1,0,-3.936314672671388,5.8004820623484505,-11.84381060882211,6.052942097867682,0.024846574291586876,1.018641710281372
2,1,4.549736062341647,18.506609393574674,-7.688589172687772,7.420246810724412,0.013760688714683056,0.020266205072402954
3,2,5.095294603228236,17.97478715509836,-13.5906467446661,9.89087324204007,0.0058482615277171135,0.00834472943097353
4,3,13.8420190120612,31.18617187155307,-5.131525331777988,10.26260932783497,0.004518408793956041,0.006147768348455429
5,4,17.7732645666678,47.39788446171799,-1.2945048281629523,14.664374559665802,0.003377288579940796,0.004656641278415918
6,5,3.5792740180499623,23.401441054439623,-9.611004318722355,11.941339309330473,0.0029017573688179255,0.0039238091558218
7,6,19.290062260340296,41.60382662974625,-0.23050929169372036,11.576286248976732,0.002195468870922923,0.0022378037683665752
8,7,9.839346628577292,29.506490586508132,-20.47487907182449,14.76206589204016,0.0017318188911303878,0.0022502366919070482
9,8,31.12444037941308,53.68018141409558,15.893103746350908,10.44176920245731,0.002205073833465576,0.0024468444753438234
10,9,22.196953801649418,41.41771237306818,2.570925115780823,9.625584685772242,0.0014694503042846918,0.0012510439846664667
11,10,26.935754606924746,44.49296055225143,8.819601203276918,12.64503002060605,0.0021878033876419067,0.0010048376861959696
